PacketCounter,Acc_X,Acc_Y,Acc_Z,
239,-12.08654594,4.306550503,7.823643208, 
240,-12.34399605,3.72168231,8.060088158, 
241,-12.38908863,3.009766817,7.714339256, 
242,-12.65272045,1.787106276,7.277641773, 
243,-13.11021614,0.59579891,6.966226578, 
244,-13.92104816,0.662278831,6.64912796, 
245,-14.41688728,1.112558126,6.265294552, 
246,-14.09562016,1.778846979,5.504686832, 
247,-13.43993759,2.075986624,5.128864765, 
248,-12.6844511,1.093182206,5.435664654, 
249,-12.00609016,-0.029137943,5.938214302, 
250,-11.44380188,-0.536002278,5.937508583, 
251,-10.85648537,-1.120198488,5.172861576, 
252,-10.51152611,-1.304773211,4.469799042, 
253,-10.29535484,-1.435923696,3.924851179, 
254,-10.29415798,-1.1013906,3.595671177, 
255,-9.953794479,-1.092367649,3.157393694, 
256,-9.655453682,-1.670012236,3.075792074, 
257,-9.474123001,-2.482281685,3.113990545, 
258,-9.583647728,-2.511514425,3.156068563, 
259,-9.601345062,-2.843236446,3.315566063, 
260,-9.418627739,-3.254798889,3.177279234, 
261,-9.400050163,-3.0823946,3.03326726, 
262,-9.4289217,-2.303173542,2.772645235, 
263,-9.481963158,-1.732034922,2.490375042, 
264,-9.551071167,-1.787030578,2.396722794, 
265,-9.579246521,-2.059119225,2.356244802, 
266,-9.594244957,-1.98758471,2.276794672, 
267,-9.461021423,-2.019057989,2.075644493, 
268,-9.416632652,-2.046226263,1.921422243, 
269,-9.485022545,-2.202068567,1.773993492, 
270,-9.464531898,-2.605686188,1.739440918, 
271,-9.388689041,-2.787147522,1.783775687, 
272,-9.318602562,-2.885571241,1.739054918, 
273,-9.111833572,-3.239497185,1.617334723, 
274,-9.028535843,-3.09485364,1.628337145, 
275,-9.164017677,-2.659185648,1.666210294, 
276,-9.288173676,-2.402123213,1.642354846, 
277,-9.261471748,-2.497501373,1.596770167, 
278,-9.339819908,-2.654132843,1.58362174, 
279,-9.326482773,-2.880818605,1.636976719, 
280,-9.285757065,-2.853003263,1.726461768, 
281,-9.129244804,-2.801962137,1.709523797, 
282,-9.003238678,-2.824936867,1.708973527, 
283,-8.947382927,-2.763273001,1.75836277, 
284,-8.901415825,-2.758899927,1.719708562, 
285,-8.873888969,-2.937513351,1.699922323, 
286,-8.880218506,-2.895855427,1.737374067, 
287,-8.81819725,-2.82828331,1.713713646, 
288,-8.830653191,-2.637250423,1.712502003, 
289,-8.923321724,-2.436584473,1.734674215, 
290,-8.994784355,-2.497936964,1.76155746, 
291,-8.990844727,-2.60803318,1.862810373, 
292,-8.946762085,-2.661881208,1.968261957, 
293,-8.929831505,-2.734920263,2.051894903, 
294,-8.950660706,-2.738798857,2.127916336, 
295,-9.003913879,-2.596438169,2.148054361, 
296,-9.081097603,-2.452997684,2.172815561, 
297,-9.097700119,-2.432749748,2.176557541, 
298,-9.161389351,-2.561908007,2.218097925, 
299,-9.179808617,-2.774534225,2.293006182, 
300,-9.158203125,-2.819231749,2.330644369, 
301,-9.101476669,-2.816792488,2.318065643, 
302,-9.081515312,-2.870266438,2.263925076, 
303,-9.054283142,-2.879821539,2.255712748, 
304,-9.031661987,-2.934854031,2.25800252, 
305,-9.029713631,-3.009454727,2.2235322, 
306,-9.044740677,-2.981487036,2.226757765, 
